Local Government District 2014 Code,Local Government District 2014 Label,Irish (Ability) Code,Irish (Ability) Label,Sexual Orientation Code,Sexual Orientation Label,Count
N09000010,"Newry, Mourne and Down",2,Speaks but does not read or write Irish,3,Prefer not to say/Not stated,461
N09000010,"Newry, Mourne and Down",3,Speaks and reads but does not write Irish,1,Straight or heterosexual,1050
N09000010,"Newry, Mourne and Down",3,Speaks and reads but does not write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",21
N09000010,"Newry, Mourne and Down",3,Speaks and reads but does not write Irish,3,Prefer not to say/Not stated,96
N09000010,"Newry, Mourne and Down",4,"Speaks, reads, writes and understands Irish",1,Straight or heterosexual,6701
N09000010,"Newry, Mourne and Down",4,"Speaks, reads, writes and understands Irish",2,"Gay, lesbian, bisexual, other sexual orientation",169
N09000010,"Newry, Mourne and Down",4,"Speaks, reads, writes and understands Irish",3,Prefer not to say/Not stated,468
N09000010,"Newry, Mourne and Down",5,Other combination of skills,1,Straight or heterosexual,2011
N09000010,"Newry, Mourne and Down",5,Other combination of skills,2,"Gay, lesbian, bisexual, other sexual orientation",56
N09000010,"Newry, Mourne and Down",5,Other combination of skills,3,Prefer not to say/Not stated,173
N09000010,"Newry, Mourne and Down",6,No ability in Irish,1,Straight or heterosexual,103909
N09000010,"Newry, Mourne and Down",6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",1584
N09000010,"Newry, Mourne and Down",6,No ability in Irish,3,Prefer not to say/Not stated,9548
N09000011,Ards and North Down,1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,1838
N09000011,Ards and North Down,1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",76
N09000011,Ards and North Down,1,"Understands but does not read, write or speak Irish",3,Prefer not to say/Not stated,174
N09000011,Ards and North Down,2,Speaks but does not read or write Irish,1,Straight or heterosexual,587
N09000011,Ards and North Down,2,Speaks but does not read or write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",17
N09000011,Ards and North Down,2,Speaks but does not read or write Irish,3,Prefer not to say/Not stated,79
N09000011,Ards and North Down,3,Speaks and reads but does not write Irish,1,Straight or heterosexual,187
N09000011,Ards and North Down,3,Speaks and reads but does not write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",15
N09000011,Ards and North Down,3,Speaks and reads but does not write Irish,3,Prefer not to say/Not stated,20
N09000011,Ards and North Down,4,"Speaks, reads, writes and understands Irish",1,Straight or heterosexual,955
N09000011,Ards and North Down,4,"Speaks, reads, writes and understands Irish",2,"Gay, lesbian, bisexual, other sexual orientation",52
N09000011,Ards and North Down,4,"Speaks, reads, writes and understands Irish",3,Prefer not to say/Not stated,84
N09000011,Ards and North Down,5,Other combination of skills,1,Straight or heterosexual,501
N09000011,Ards and North Down,5,Other combination of skills,2,"Gay, lesbian, bisexual, other sexual orientation",31
N09000011,Ards and North Down,5,Other combination of skills,3,Prefer not to say/Not stated,62
N09000011,Ards and North Down,6,No ability in Irish,1,Straight or heterosexual,118079
N09000011,Ards and North Down,6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",2428
N09000011,Ards and North Down,6,No ability in Irish,3,Prefer not to say/Not stated,8805
