Local Government District 2014 Code,Local Government District 2014 Label,Sexual Orientation Code,Sexual Orientation Label,Irish (Speak Frequency) Code,Irish (Speak Frequency) Label,Count
N09000007,Lisburn and Castlereagh,2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,17
N09000007,Lisburn and Castlereagh,2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2281
N09000007,Lisburn and Castlereagh,2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000007,Lisburn and Castlereagh,3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,115
N09000007,Lisburn and Castlereagh,3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,45
N09000007,Lisburn and Castlereagh,3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,138
N09000007,Lisburn and Castlereagh,3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,54
N09000007,Lisburn and Castlereagh,3,Prefer not to say/Not stated,5,Cannot speak Irish,7481
N09000007,Lisburn and Castlereagh,3,Prefer not to say/Not stated,-8,No code required,0
N09000007,Lisburn and Castlereagh,-8,No code required,1,Can speak Irish: Speaks Irish daily,383
N09000007,Lisburn and Castlereagh,-8,No code required,2,Can speak Irish: Speaks Irish weekly,236
N09000007,Lisburn and Castlereagh,-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,181
N09000007,Lisburn and Castlereagh,-8,No code required,4,Can speak Irish: Never speaks Irish,37
N09000007,Lisburn and Castlereagh,-8,No code required,5,Cannot speak Irish,24008
N09000007,Lisburn and Castlereagh,-8,No code required,-8,No code required,5340
N09000008,Mid and East Antrim,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,478
N09000008,Mid and East Antrim,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,367
N09000008,Mid and East Antrim,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,977
N09000008,Mid and East Antrim,1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,358
N09000008,Mid and East Antrim,1,Straight or heterosexual,5,Cannot speak Irish,100768
N09000008,Mid and East Antrim,1,Straight or heterosexual,-8,No code required,0
N09000008,Mid and East Antrim,2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,12
N09000008,Mid and East Antrim,2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,8
N09000008,Mid and East Antrim,2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,33
N09000008,Mid and East Antrim,2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,13
N09000008,Mid and East Antrim,2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1697
N09000008,Mid and East Antrim,2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000008,Mid and East Antrim,3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,132
N09000008,Mid and East Antrim,3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,46
N09000008,Mid and East Antrim,3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,90
N09000008,Mid and East Antrim,3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,55
N09000008,Mid and East Antrim,3,Prefer not to say/Not stated,5,Cannot speak Irish,8041
N09000008,Mid and East Antrim,3,Prefer not to say/Not stated,-8,No code required,0
N09000008,Mid and East Antrim,-8,No code required,1,Can speak Irish: Speaks Irish daily,164
N09000008,Mid and East Antrim,-8,No code required,2,Can speak Irish: Speaks Irish weekly,153
N09000008,Mid and East Antrim,-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,141
N09000008,Mid and East Antrim,-8,No code required,4,Can speak Irish: Never speaks Irish,33
N09000008,Mid and East Antrim,-8,No code required,5,Cannot speak Irish,21086
N09000008,Mid and East Antrim,-8,No code required,-8,No code required,4340
N09000009,Mid Ulster,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,3923
N09000009,Mid Ulster,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2340
N09000009,Mid Ulster,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,4579
N09000009,Mid Ulster,1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,705
N09000009,Mid Ulster,1,Straight or heterosexual,5,Cannot speak Irish,92576
N09000009,Mid Ulster,1,Straight or heterosexual,-8,No code required,0
N09000009,Mid Ulster,2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,68
N09000009,Mid Ulster,2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,27
N09000009,Mid Ulster,2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,71
N09000009,Mid Ulster,2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,12
N09000009,Mid Ulster,2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1135
N09000009,Mid Ulster,2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
